,school,region,start_median_salary,mid_median_salary,mid_per_10,mid_per_25,mid_per_75,mid_per_90,school_type
169,University of Florida (UF),Southern,47100.0,87900.0,45400.0,62900.0,120000.0,172000.0,State
170,Louisiana State University (LSU),Southern,46900.0,87800.0,43700.0,61300.0,120000.0,165000.0,Party
171,Louisiana State University (LSU),Southern,46900.0,87800.0,43700.0,61300.0,120000.0,165000.0,State
172,George Mason University,Southern,47800.0,86900.0,51300.0,67200.0,114000.0,150000.0,State
173,Clemson University,Southern,48400.0,86000.0,50500.0,61800.0,111000.0,150000.0,State
174,University of Georgia (UGA),Southern,44100.0,86000.0,43100.0,57800.0,118000.0,164000.0,Party
175,University of Georgia (UGA),Southern,44100.0,86000.0,43100.0,57800.0,118000.0,164000.0,State
176,Auburn University,Southern,45400.0,84700.0,45400.0,62700.0,109000.0,145000.0,State
177,University of Delaware,Southern,45900.0,84500.0,44500.0,64000.0,119000.0,165000.0,State
178,Randolph-Macon College,Southern,42600.0,83600.0,,54100.0,123000.0,,Party
179,Randolph-Macon College,Southern,42600.0,83600.0,,54100.0,123000.0,,Liberal Arts
180,North Carolina State University (NCSU),Southern,47200.0,83300.0,49200.0,64800.0,112000.0,153000.0,State
181,University of Oklahoma,Southern,44700.0,82900.0,41200.0,60300.0,114000.0,167000.0,State
182,University of Arkansas,Southern,44100.0,82800.0,43200.0,60700.0,113000.0,160000.0,State
183,University of Alabama at Huntsville (UAH),Southern,43100.0,82700.0,46100.0,67800.0,106000.0,132000.0,State
184,Howard University,Southern,46900.0,81800.0,43300.0,60000.0,109000.0,138000.0,
185,University of North Carolina at Chapel Hill (UNCH),Southern,42900.0,81500.0,43400.0,57500.0,117000.0,155000.0,State
186,"University of Alabama, Tuscaloosa",Southern,41300.0,81400.0,40100.0,56500.0,117000.0,161000.0,Party
187,"University of Alabama, Tuscaloosa",Southern,41300.0,81400.0,40100.0,56500.0,117000.0,161000.0,State
188,University of Texas at Arlington (UTA),Southern,45400.0,80800.0,46400.0,61200.0,106000.0,138000.0,State
189,Oklahoma State University,Southern,42800.0,80700.0,40100.0,56500.0,114000.0,151000.0,State
190,Tennessee Technological University,Southern,46200.0,80000.0,42100.0,62600.0,99500.0,121000.0,Engineering
191,University of Houston (UH),Southern,46000.0,79900.0,42000.0,56200.0,106000.0,141000.0,State
192,University of Mississippi,Southern,41400.0,79700.0,40400.0,53500.0,108000.0,186000.0,Party
193,University of Mississippi,Southern,41400.0,79700.0,40400.0,53500.0,108000.0,186000.0,State
194,Lamar University,Southern,46500.0,79400.0,38700.0,51600.0,114000.0,158000.0,State
195,Mississippi State University (MSU),Southern,44500.0,79300.0,43300.0,58800.0,108000.0,151000.0,State
196,University of Kentucky (UK),Southern,42800.0,78300.0,43000.0,57300.0,107000.0,149000.0,State
197,Texas Christian University (TCU),Southern,45100.0,78100.0,42600.0,56600.0,122000.0,183000.0,
198,West Virginia University (WVU),Southern,43100.0,78100.0,39700.0,55700.0,106000.0,141000.0,Party
199,West Virginia University (WVU),Southern,43100.0,78100.0,39700.0,55700.0,106000.0,141000.0,State
200,University of Maryland Baltimore County (UMBC),Southern,47000.0,77800.0,46900.0,59100.0,105000.0,130000.0,State
201,University of Louisiana (UL) at Lafayette,Southern,41100.0,76300.0,42000.0,54500.0,107000.0,163000.0,State
202,Florida International University (FIU),Southern,43200.0,75500.0,40500.0,55800.0,98200.0,136000.0,State
203,University of Tennessee,Southern,43800.0,74600.0,41900.0,53200.0,106000.0,153000.0,Party
204,University of Tennessee,Southern,43800.0,74600.0,41900.0,53200.0,106000.0,153000.0,State
205,University of Arkansas - Monticello (UAM),Southern,39200.0,74500.0,,46100.0,110000.0,,State
206,University of North Carolina at Charlotte (UNCC),Southern,43100.0,74000.0,38200.0,53200.0,99500.0,133000.0,State
207,Georgia State University,Southern,41800.0,74000.0,43000.0,55300.0,99900.0,145000.0,State
208,LeTourneau University,Southern,49500.0,73800.0,41200.0,52700.0,95200.0,126000.0,
209,Florida State University (FSU),Southern,42100.0,73000.0,39600.0,52800.0,107000.0,156000.0,Party
210,Florida State University (FSU),Southern,42100.0,73000.0,39600.0,52800.0,107000.0,156000.0,State
211,University of Texas at El Paso (UTEP),Southern,43400.0,72100.0,37700.0,50400.0,99500.0,133000.0,State
212,University of Central Florida (UCF),Southern,42600.0,71700.0,39500.0,51500.0,98400.0,125000.0,State
213,University of South Carolina,Southern,40000.0,71700.0,36300.0,49900.0,98400.0,131000.0,State
214,Florida Atlantic University (FAU),Southern,42600.0,71100.0,40700.0,53000.0,99500.0,137000.0,State
215,University of South Florida (USF),Southern,41100.0,71100.0,39600.0,51500.0,98100.0,131000.0,State
216,University of Texas at San Antonio (UTSA),Southern,42500.0,70700.0,39100.0,49800.0,92700.0,121000.0,State
217,University of Alabama at Birmingham (UAB),Southern,39200.0,70100.0,43000.0,53400.0,91400.0,125000.0,State
218,University of Memphis (U of M),Southern,41400.0,69700.0,36100.0,49100.0,93500.0,127000.0,State
219,Appalachian State University,Southern,40400.0,69100.0,37200.0,50400.0,90800.0,115000.0,State
220,Virginia Commonwealth University (VCU),Southern,42000.0,68400.0,37400.0,51900.0,100000.0,123000.0,State
221,East Carolina University (ECU),Southern,40200.0,67500.0,38400.0,52000.0,98700.0,151000.0,State
222,Western Carolina University,Southern,36900.0,66600.0,39000.0,49500.0,94400.0,133000.0,State
223,Jacksonville University,Southern,46700.0,66200.0,36700.0,47200.0,88500.0,121000.0,
224,University of North Carolina at Wilmington (UNCW),Southern,37500.0,64400.0,32100.0,46600.0,97100.0,129000.0,State
225,Oklahoma City University,Southern,40000.0,64300.0,,45400.0,80600.0,,
226,Arkansas State University (ASU),Southern,38700.0,63300.0,33600.0,45300.0,83900.0,118000.0,State
227,Tarleton State University (TSU),Southern,40800.0,62400.0,32100.0,47400.0,80400.0,126000.0,State
228,Morehead State University,Southern,34800.0,60600.0,34300.0,46500.0,72000.0,91300.0,State
229,Mississippi College,Southern,35400.0,60400.0,,43900.0,80400.0,,
230,Dallas Baptist University,Southern,39400.0,60200.0,38500.0,50300.0,81800.0,98100.0,
231,Austin Peay State University,Southern,37700.0,59200.0,32200.0,40500.0,73900.0,96200.0,State
232,Saint Leo University,Southern,40900.0,57800.0,34400.0,41800.0,80600.0,113000.0,
233,Tusculum College,Southern,36900.0,55500.0,36200.0,43000.0,87300.0,124000.0,
234,Virginia Wesleyan College (VWC),Southern,34600.0,54900.0,,37100.0,88900.0,,
235,"Lee University (Cleveland, TN)",Southern,34500.0,53900.0,,44500.0,76800.0,,
236,Florida Metropolitan University (FMU),Southern,36600.0,51000.0,32800.0,36800.0,70400.0,102000.0,
237,Dartmouth College,Northeastern,58000.0,134000.0,63100.0,90200.0,234000.0,321000.0,Ivy League
238,Princeton University,Northeastern,66500.0,131000.0,68900.0,100000.0,190000.0,261000.0,Ivy League
239,Massachusetts Institute of Technology (MIT),Northeastern,72200.0,126000.0,76800.0,99200.0,168000.0,220000.0,Engineering
240,Yale University,Northeastern,59100.0,126000.0,58000.0,80600.0,198000.0,326000.0,Ivy League
241,Harvard University,Northeastern,63400.0,124000.0,54800.0,86200.0,179000.0,288000.0,Ivy League
242,University of Pennsylvania,Northeastern,60900.0,120000.0,55900.0,79200.0,192000.0,282000.0,Ivy League
243,"Polytechnic University of New York, Brooklyn",Northeastern,62400.0,114000.0,66800.0,94300.0,143000.0,190000.0,Engineering
244,Cooper Union,Northeastern,62200.0,114000.0,,80200.0,142000.0,,Engineering
245,Worcester Polytechnic Institute (WPI),Northeastern,61000.0,114000.0,80000.0,91200.0,137000.0,180000.0,Engineering
246,Carnegie Mellon University (CMU),Northeastern,61800.0,111000.0,63300.0,80100.0,150000.0,209000.0,Engineering
247,Rensselaer Polytechnic Institute (RPI),Northeastern,61100.0,110000.0,71600.0,85500.0,140000.0,182000.0,Engineering
248,Cornell University,Northeastern,60300.0,110000.0,56800.0,79800.0,160000.0,210000.0,Ivy League
249,Bucknell University,Northeastern,54100.0,110000.0,62800.0,80600.0,156000.0,251000.0,Liberal Arts
250,Brown University,Northeastern,56200.0,109000.0,55400.0,74400.0,159000.0,228000.0,Ivy League
251,Colgate University,Northeastern,52800.0,108000.0,60000.0,76700.0,167000.0,265000.0,Liberal Arts
252,Columbia University,Northeastern,59400.0,107000.0,50300.0,71900.0,161000.0,241000.0,Ivy League
253,Amherst College,Northeastern,54500.0,107000.0,,84900.0,162000.0,,Liberal Arts
254,Lafayette College,Northeastern,53900.0,107000.0,70600.0,79300.0,144000.0,204000.0,Liberal Arts
255,Bowdoin College,Northeastern,48100.0,107000.0,,74600.0,146000.0,,Liberal Arts
256,College of the Holy Cross,Northeastern,50200.0,106000.0,,65600.0,143000.0,,Liberal Arts
257,Stevens Institute of Technology,Northeastern,60600.0,105000.0,68700.0,81900.0,138000.0,185000.0,Engineering
258,Lehigh University,Northeastern,59200.0,105000.0,69500.0,85000.0,160000.0,229000.0,
259,Swarthmore College,Northeastern,49700.0,104000.0,,67200.0,167000.0,,Liberal Arts
260,Boston College,Northeastern,52700.0,103000.0,48900.0,70000.0,143000.0,195000.0,
261,Williams College,Northeastern,51700.0,102000.0,,76400.0,143000.0,,Liberal Arts
262,Villanova University,Northeastern,55800.0,101000.0,56800.0,76200.0,156000.0,226000.0,
263,Fordham University,Northeastern,47800.0,99900.0,48600.0,65900.0,142000.0,198000.0,
264,"Wesleyan University (Middletown, Connecticut)",Northeastern,46500.0,97900.0,42000.0,62500.0,126000.0,215000.0,Liberal Arts
265,Wentworth Institute of Technology,Northeastern,53000.0,96700.0,55200.0,74000.0,117000.0,153000.0,Engineering
266,Bates College,Northeastern,47300.0,96500.0,,60700.0,162000.0,,Liberal Arts
267,Binghamton University,Northeastern,53600.0,95900.0,50900.0,71200.0,146000.0,201000.0,State
268,Union College,Northeastern,47200.0,95800.0,48700.0,75200.0,135000.0,230000.0,Liberal Arts
269,New York University (NYU),Northeastern,50300.0,95600.0,47500.0,65000.0,142000.0,216000.0,
270,Vassar College,Northeastern,46000.0,94600.0,,60600.0,123000.0,,Liberal Arts
271,Middlebury College,Northeastern,47700.0,94200.0,,69100.0,129000.0,,Liberal Arts
272,Mount Holyoke College,Northeastern,42400.0,94200.0,,57100.0,131000.0,,Liberal Arts
273,Boston University,Northeastern,49000.0,93900.0,48000.0,64900.0,130000.0,193000.0,
274,Drexel University,Northeastern,53400.0,93500.0,54900.0,72500.0,122000.0,161000.0,
275,"St. John's University, New York",Northeastern,48000.0,93400.0,48000.0,65400.0,124000.0,181000.0,
276,Long Island University,Northeastern,47300.0,93200.0,46300.0,62100.0,122000.0,169000.0,
277,Stony Brook University,Northeastern,49500.0,93000.0,47200.0,67100.0,129000.0,181000.0,State
278,Franklin and Marshall College,Northeastern,49100.0,92800.0,,55800.0,185000.0,,Liberal Arts
279,Hofstra University,Northeastern,46800.0,92700.0,48900.0,67000.0,135000.0,189000.0,
280,State University of New York (SUNY) at Albany,Northeastern,44500.0,92200.0,47000.0,63100.0,135000.0,209000.0,Party
281,State University of New York (SUNY) at Albany,Northeastern,44500.0,92200.0,47000.0,63100.0,135000.0,209000.0,State
282,Rutgers University,Northeastern,50300.0,91800.0,48100.0,65100.0,128000.0,176000.0,State
283,Pratt Institute,Northeastern,43800.0,89900.0,48600.0,65400.0,123000.0,155000.0,
284,Pace University,Northeastern,53200.0,89700.0,44200.0,65400.0,129000.0,187000.0,
285,Seton Hall University,Northeastern,48900.0,89200.0,55700.0,70600.0,133000.0,195000.0,
286,Rider University,Northeastern,43600.0,88900.0,47100.0,63100.0,127000.0,150000.0,
287,University of Connecticut (UConn),Northeastern,48000.0,88800.0,46100.0,66400.0,120000.0,162000.0,State
288,Providence College,Northeastern,48000.0,88600.0,42800.0,62900.0,138000.0,194000.0,
289,University of Massachusetts (UMass) - Amherst,Northeastern,46600.0,88200.0,43100.0,61300.0,122000.0,168000.0,State
290,Ithaca College,Northeastern,42700.0,87400.0,50200.0,62400.0,128000.0,174000.0,
291,University of Massachusetts (UMass) - Lowell,Northeastern,45400.0,86600.0,50900.0,65000.0,113000.0,158000.0,State
292,Northeastern University,Northeastern,50500.0,86400.0,47100.0,62700.0,117000.0,159000.0,
293,Syracuse University,Northeastern,45700.0,85900.0,46400.0,59400.0,119000.0,178000.0,
294,Colby College,Northeastern,46400.0,85800.0,,63500.0,129000.0,,Liberal Arts
295,Gettysburg College,Northeastern,44700.0,85800.0,,66300.0,132000.0,,Liberal Arts
296,Pennsylvania State University (PSU),Northeastern,49900.0,85700.0,46300.0,62000.0,117000.0,160000.0,Party
297,Pennsylvania State University (PSU),Northeastern,49900.0,85700.0,46300.0,62000.0,117000.0,160000.0,State
298,University of Rhode Island (URI),Northeastern,43900.0,85300.0,45400.0,60100.0,112000.0,157000.0,State
299,Siena College,Northeastern,45500.0,85200.0,38700.0,58400.0,129000.0,189000.0,Liberal Arts
300,La Salle University (Philadelphia),Northeastern,43400.0,84700.0,45300.0,57500.0,106000.0,151000.0,
301,Rochester Institute of Technology (RIT),Northeastern,48900.0,84600.0,45000.0,62100.0,112000.0,159000.0,Engineering
302,Duquesne University,Northeastern,40700.0,84400.0,42600.0,59500.0,107000.0,131000.0,
303,State University of New York (SUNY) at Farmingdale,Northeastern,47300.0,84200.0,50200.0,59800.0,110000.0,162000.0,State
304,Smith College,Northeastern,44000.0,83900.0,45100.0,59800.0,129000.0,184000.0,Liberal Arts
305,Hamilton College,Northeastern,49200.0,83700.0,,51900.0,123000.0,,Liberal Arts
306,Wellesley College,Northeastern,42800.0,83500.0,,58600.0,125000.0,,Liberal Arts
307,Widener University,Northeastern,52900.0,83400.0,42600.0,61400.0,106000.0,138000.0,
308,University of New Haven,Northeastern,44400.0,82900.0,48500.0,66100.0,113000.0,157000.0,
309,Dowling College,Northeastern,41100.0,82800.0,46500.0,60600.0,117000.0,142000.0,
310,University of Vermont (UVM),Northeastern,44800.0,82700.0,44700.0,58000.0,122000.0,194000.0,State
311,State University of New York (SUNY) at Buffalo,Northeastern,46200.0,81700.0,45900.0,61400.0,110000.0,147000.0,State
312,State University of New York (SUNY) at Geneseo,Northeastern,42300.0,81300.0,39300.0,47600.0,117000.0,173000.0,State
313,Fashion Institute of Technology,Northeastern,42800.0,81000.0,38800.0,60500.0,106000.0,138000.0,
314,Philadelphia University,Northeastern,45100.0,80300.0,45800.0,61900.0,108000.0,141000.0,
315,Ursinus College,Northeastern,42100.0,80000.0,35600.0,54300.0,100000.0,160000.0,Liberal Arts
316,Adelphi University,Northeastern,40600.0,79200.0,44200.0,54800.0,114000.0,160000.0,
317,Juniata College,Northeastern,41800.0,78900.0,,67200.0,110000.0,,Liberal Arts
318,Fairleigh Dickinson University,Northeastern,45700.0,78700.0,40200.0,56300.0,112000.0,171000.0,
319,University of New Hampshire (UNH),Northeastern,41800.0,78300.0,41700.0,56400.0,114000.0,147000.0,Party
320,University of New Hampshire (UNH),Northeastern,41800.0,78300.0,41700.0,56400.0,114000.0,147000.0,State
321,University of Massachusetts (UMass) - Boston,Northeastern,45600.0,78200.0,36300.0,53800.0,109000.0,151000.0,State
322,State University of New York (SUNY) at Oswego,Northeastern,38000.0,77800.0,40400.0,53000.0,115000.0,169000.0,State
323,University of Massachusetts (UMass) - Dartmouth,Northeastern,43200.0,77700.0,43300.0,56200.0,107000.0,132000.0,State
324,State University of New York (SUNY) at Oneonta,Northeastern,37500.0,76700.0,40000.0,54300.0,97700.0,155000.0,State
325,Quinnipiac University,Northeastern,43000.0,76500.0,47900.0,57400.0,117000.0,155000.0,
326,State University of New York (SUNY) at Plattsburgh,Northeastern,40800.0,76200.0,38400.0,54100.0,105000.0,136000.0,State
327,Sacred Heart University,Northeastern,46000.0,75300.0,39700.0,54800.0,105000.0,150000.0,
328,Skidmore College,Northeastern,41600.0,74600.0,,42800.0,147000.0,,Liberal Arts
329,Moravian College,Northeastern,42500.0,74400.0,,56700.0,94900.0,,Liberal Arts
330,Penn State - Harrisburg,Northeastern,45700.0,74000.0,44000.0,53100.0,104000.0,150000.0,State
331,Suffolk University,Northeastern,42100.0,74000.0,48700.0,57800.0,95100.0,145000.0,
332,Fitchburg State College,Northeastern,42400.0,72600.0,43300.0,56100.0,99600.0,151000.0,State
333,Roger Williams University,Northeastern,42000.0,72300.0,39800.0,48500.0,102000.0,138000.0,
334,University Of Maine,Northeastern,41200.0,72100.0,41700.0,55600.0,99300.0,141000.0,State
335,State University of New York (SUNY) at Potsdam,Northeastern,38000.0,70300.0,35100.0,51200.0,100000.0,179000.0,State
336,Niagara University,Northeastern,36900.0,69700.0,44000.0,57000.0,92000.0,128000.0,
337,State University of New York (SUNY) at Fredonia,Northeastern,37800.0,66200.0,32800.0,44200.0,93300.0,181000.0,State
338,University of Southern Maine,Northeastern,39400.0,63600.0,40400.0,47900.0,85700.0,117000.0,State
339,Mercy College,Northeastern,43700.0,62600.0,35600.0,47300.0,99000.0,134000.0,
